"tau_Av_Int.ns."
"9,53443266722684"
"2,45271306938144"
"2,64343428161859"
"2,26511032153098"
"2,15786715046935"
"2,16043938294774"
"2,51878505636082"
"2,39182296191132"
"2,09982368603249"
"2,7988362166479"
"2,11971445309912"
"2,51039497498791"
"1,71911218948292"
"2,84287318643731"
"2,44460522676378"
"2,43130592646511"
"2,17420703663151"
"2,93898804149746"
"2,50920152236777"
"2,68889624791053"
"2,06648378036883"
"2,38255030108951"
"2,34314641361341"
"2,69860408084496"
"2,24048224417572"
"2,48019059326958"
"2,13130220748844"
"2,36187955363489"
"2,56835889668541"
"1,83180481894141"
"2,48059174382418"
"2,42284747820065"
"2,47629802798949"
"2,80912789215108"
"2,77854832592914"
"2,52848933068735"
"2,35575937424283"
"2,31916528574401"
"2,78493385825914"
"1,96158204863061"
"2,67962157768174"
"2,43822280340215"
"2,18219642356132"
"2,24011147759314"
"2,49133503178338"
"2,54451145818838"
"3,0800683639141"
"2,29237269588283"
"2,49084235227552"
"2,32763498812675"
"2,72196969991507"
"2,28621499245329"
"3,06033996423607"
"2,19035073494112"
"2,29943090178861"
"2,56269914618817"
"2,72108670544509"
"2,70781008257893"
"2,52469227848871"
"1,89392590499438"
"2,23847385072418"
"2,48237151605121"
"2,45828969811458"
"2,2174080638177"
"1,94770609353991"
"2,38441510980181"
"2,34301951183515"
"2,64218433251258"
"3,6020820375749"
"2,93745123511716"
"2,84129457765753"
"1,86724813389105"
"2,76273673765199"
"2,4049748006383"
"2,58806954710078"
"1,90193749638468"
"2,34808840923034"
"2,23705376524283"
"3,72265484016999"
"2,59779604806874"
"2,55310562272809"
"2,51190804714309"
"2,84182566367974"
"1,98356153724433"
"2,44827923417085"
"2,67950911132112"
"2,49142047618833"
"2,44936515514382"
"2,45099342244877"
"2,1497234846951"
"2,47256361360687"
"2,32194685700904"
"2,32077326179605"
"2,69336730696068"
"2,25497807433275"
"2,08596348137708"
"2,48835474098372"
"2,1751592625399"
"2,04669734050628"
"3,06788897377587"
"2,48943894235853"
"2,56533373677835"
"3,42927510122944"
"2,22320162279743"
"3,32965339572522"
"2,30714471394842"
"2,13371009749608"
"2,49060660135033"
"2,36714425838613"
"1,9367081272037"
"2,48088194432228"
"2,4761355188474"
"2,43095857908362"
"2,27425869745274"
"3,22917809506601"
"16,7474018748342"
"2,25406000407768"
"2,45192288694795"
"2,39814971258151"
"3,02315945986795"
"2,32068320116241"
"2,52789799795485"
"1,039673385367"
"2,9804536313745"
"2,12230411023029"
"2,86958990028122"
"2,13284825593591"
"2,59810874712246"
"2,49212339063505"
"2,56126962823508"
"2,10392725463748"
"2,29429315757827"
"2,11415751572019"
"1,89361015756617"
"2,61145848743517"
"2,39641084982222"
"2,23680519269555"
"1,77129799716624"
"2,88895027975257"
"1,89464022248842"
"2,31378636852563"
"2,44539077188348"
"4,19791197981996"
"2,72584027181122"
"2,66658479904233"
"2,976268987441"
"2,43005303379286"
"2,36925923324804"
"2,42098033429339"
"2,42543243077415"
"2,63754380048153"
"2,36035431866211"
"1,85359005921981"
"2,8234235502577"
"2,28852573903864"
"2,33200422994184"
"2,37926700563662"
"2,56459803557307"
"1,93466973288026"
"2,24338031154425"
"4,19771739220184"
"1,53397183844106"
"2,57780432447886"
"1,79223191842937"
"2,61428048683208"
"2,46881401643296"
"2,43471610964651"
"2,21210516571091"
"3,27200247456296"
"1,977539917475"
"2,35601340234667"
"2,55774794058374"
"2,44065682804436"
"2,89655709681249"
"2,25095057917179"
"2,266750803345"
"2,44454348461232"
"2,12364727431452"
"2,36766450889547"
"2,12126627374687"
"2,5376958335339"
"2,38755302397653"
"2,41065182918177"
"2,41965642558963"
"2,46362263361859"
"1,79702175362451"
"2,41928161071343"
"2,38591117000938"
"2,48800831097996"
"1,74249421837082"
"2,6024534495343"
"2,31725505450697"
"2,46839404428942"
"2,51276647242846"
"3,94541950321208"
"2,09398489419744"
"2,85382092431155"
"2,38204633795647"
"2,25350569048991"
"2,6209314966605"
"2,63451992948408"
"2,10053863192172"
"2,08252437516876"
"2,60532472593346"
"2,49945702316204"
"2,12188604403214"
"2,32775089815832"
"2,17228630447149"
"2,48591356830885"
"3,54857121713122"
"7,12200803289047"
"2,60237187355017"
"2,19229034925661"
"2,53441447299481"
"2,21011385372064"
"2,83202778002643"
"2,48304567646187"
"2,58253895638133"
"2,37535489847041"
"2,30528796052454"
"2,59146780453438"
"2,07458297991324"
"2,31359575941781"
"2,17400608626406"
"2,28921215317257"
"2,69324205383503"
"2,52108703364907"
"2,24844978436917"
"2,49979689927207"
"2,39993812385702"
"2,59843332310615"
"2,33490803820149"
"1,89170821961062"
"2,29231345016956"
"4,55094221993545"
"2,39420835062234"
"2,85846839833347"
"2,52464780605857"
"2,78997824962753"
"2,43772933055386"
"2,33165103514936"
"2,19484497243627"
"2,9530724962914"
"2,33042486690734"
"2,30577054246888"
"1,83098225470246"
"2,70808427388593"
"2,26823515525609"
"2,18150852937526"
"2,4752473404277"
"3,14774849766698"
"2,28486205308877"
"2,0877909675938"
"2,29132579576685"
"2,94767621611398"
"2,00855443388548"
"2,463544731798"
"2,61033983087045"
"1,97109217836555"
"2,68308529016292"
"2,19710427629138"
"1,99619831775522"
"1,74574088518398"
"3,82312311824202"
"2,18574414641181"
"1,87735464071592"
"2,27384537160563"
"2,07867383819338"
"2,34097786507104"
"2,32782082498773"
"2,69324251159139"
"2,50883935124456"
"2,50247456741737"
"2,60142142657364"
"2,64192069755281"
"3,28982384056495"
"2,23316198564252"
"2,42946041062453"
"2,54687876694705"
"2,4531158577155"
"2,29659002926041"
"2,2919629904236"
"2,65168994891493"
"47152,4666188483"
"2,43173955952251"
"2,24408425175682"
"2,44472501361358"
"2,24634291192546"
"2,48623883526379"
"2,39530884016403"
"2,60782283875843"
"2,32959400794321"
"2,67593554409127"
"2,33363194116439"
"2,12048499154662"
"2,37637950969187"
"2,65859671249476"
"2,68845211368848"
"2,58629819763815"
"2,61160874322545"
"3,3158520024317"
"2,52829845948099"
"2,03412064969655"
"2,53148350034972"
"2,30985874871692"
"7,26918878798077"
"2,43848502478883"
"2,36970053503934"
"2,42209476235337"
"2,42502196101668"
"2,6892352867827"
"2,18430729860371"
"2,08220529707148"
"2,40483418150526"
"2,25270829713152"
"2,47705123079811"
"3,69534528587534"
"2,14457933108414"
"2,2886410544487"
"2,5012987621814"
"3,93214916303552"
"2,51487176883029"
"2,40525451944956"
"2,49233956745404"
"2,35527397585145"
"2,27266849783803"
"2,96671533636895"
"2,13690931616384"
"2,36213568189107"
"1,78130340721146"
"2,29903562853906"
"2,46420902662492"
"2,40277864271832"
"2,91690489534292"
"2,88688302724511"
"2,39994707721639"
"2,45627984618579"
"2,19331552919755"
"2,35521202540667"
"2,05998410979532"
"2,18696705189814"
"2,31455261918121"
"3,02140358640987"
"2,31797858639677"
"2,45669637237308"
"2,61128617859989"
"2,39998589064842"
"2,57786172251917"
"2,42841779966996"
"2,67676097307393"
"2,69942276278188"
"2,02606487142987"
"2,3266545308229"
"2,60156532213934"
"2,20080353940943"
"1,84985615714339"
"2,86969918191847"
"2,11512052317175"
"2,74424025992419"
"2,78235708466371"
"2,08485362307442"
"2,55296147242715"
"2,12882200756326"
"2,34987207470283"
"1,90680678979669"
"2,14676872618323"
"2,26216756438191"
"3,45741921806472"
"1,97359018017096"
"2,31518873421986"
"2,37635271402388"
"2,54115899457119"
"2,38034164682842"
"1,8295125460364"
"2,57512061296481"
"2,4157813528684"
"2,42311807383228"
"2,82233585562776"
"2,33503853460045"
"1,67297872406857"
"2,68557230984555"
"2,39361042098096"
"2,49189357125266"
